record_id,document_type,registration_year,stated_area_acres,gis_calculated_area_acres,area_variance_pct,boundary_overlap_ratio,owner_name_similarity,temporal_date_gap_days,subdivision_depth,ocr_confidence,stamp_duty_ratio,encumbrance_status,prior_dispute_flag,mutation_status,target_fraud_risk
KAG-LR-100050,PATTA,2010,2.81,2.87,3.6,0.024,0.956,60,2,95.2,1.13,NIL,0,APPROVED,0
KAG-LR-100051,SALE_DEED,2015,2.26,2.17,6.5,0.012,0.968,15,1,95.3,0.98,ACTIVE_MORTGAGE,0,APPROVED,0
KAG-LR-100052,PATTA,1996,6.35,6.43,0.71,0.007,0.978,13,2,91.0,1.04,NIL,0,APPROVED,0
KAG-LR-100053,PATTA,2018,2.02,1.99,2.0,0.007,0.989,14,3,97.6,0.91,NIL,0,APPROVED,0
KAG-LR-100054,SALE_DEED,2018,3.98,4.06,1.21,0.005,0.973,61,1,91.7,0.97,NIL,0,PENDING,0
KAG-LR-100055,PATTA,1988,13.24,12.62,4.71,0.373,0.487,37,2,75.9,0.49,DISPUTED,0,REJECTED,1
KAG-LR-100056,SALE_DEED,2004,6.4,6.72,1.45,0.007,0.962,52,3,94.4,0.93,NIL,0,REJECTED,0
KAG-LR-100057,SALE_DEED,1968,4.65,4.82,4.47,0.005,0.966,16,2,87.2,0.95,NIL,0,APPROVED,0
KAG-LR-100058,SALE_DEED,1990,1.73,1.8,5.14,0.001,0.994,34,4,99.5,1.02,NIL,0,APPROVED,0
KAG-LR-100059,PATTA,1977,0.96,0.93,0.99,0.003,0.988,67,1,96.1,0.94,NIL,0,APPROVED,0
KAG-LR-100060,PATTA,1968,10.18,10.21,4.01,0.001,0.968,94,1,88.8,1.03,NIL,0,APPROVED,0
KAG-LR-100061,POWER_OF_ATTORNEY,1989,3.64,3.68,2.69,0.001,0.967,31,1,92.4,0.91,NIL,0,APPROVED,0
KAG-LR-100062,PATTA,2013,4.09,4.14,2.08,0.003,0.98,49,1,86.3,0.92,NIL,0,APPROVED,0
KAG-LR-100063,PATTA,1967,3.0,3.06,1.35,0.041,0.929,32,2,90.3,1.03,NIL,0,APPROVED,0
KAG-LR-100064,SETTLEMENT,2009,8.16,8.39,6.5,0.012,0.989,36,1,94.2,1.06,NIL,0,APPROVED,0
KAG-LR-100065,PATTA,1965,1.12,1.13,1.74,0.006,0.948,32,1,92.6,1.03,NIL,0,APPROVED,0
KAG-LR-100066,SETTLEMENT,2018,0.73,0.76,2.16,0.014,0.991,37,1,92.6,1.0,NIL,0,APPROVED,0
KAG-LR-100067,PATTA,1969,1.77,1.88,1.41,0.0,0.974,36,3,90.5,1.01,NIL,0,APPROVED,0
KAG-LR-100068,POWER_OF_ATTORNEY,2025,2.09,2.37,13.45,0.321,0.659,2292,1,77.5,0.27,ACTIVE_MORTGAGE,0,PENDING,1
KAG-LR-100069,POWER_OF_ATTORNEY,1982,1.14,1.13,1.6,0.012,0.931,44,2,91.0,0.99,NIL,0,PENDING,0
KAG-LR-100070,SALE_DEED,2001,2.45,2.33,4.97,0.398,0.713,1464,1,79.5,0.47,NIL,1,REJECTED,1
KAG-LR-100071,PATTA,1968,1.18,1.12,2.91,0.028,0.935,68,3,95.0,0.95,NIL,0,APPROVED,0
KAG-LR-100072,POWER_OF_ATTORNEY,1985,1.13,0.99,12.72,0.116,0.484,-429,2,60.6,0.35,NIL,0,REJECTED,1
KAG-LR-100073,PATTA,1979,10.37,10.42,4.8,0.007,0.939,37,2,96.6,0.99,NIL,0,APPROVED,0
KAG-LR-100074,SALE_DEED,2003,4.26,4.28,2.95,0.006,0.967,48,2,96.2,1.04,NIL,0,APPROVED,0
KAG-LR-100075,PATTA,2018,3.56,3.5,0.97,0.013,0.985,107,2,99.2,1.12,NIL,0,APPROVED,0
KAG-LR-100076,PATTA,2009,0.48,0.5,6.5,0.006,0.968,22,3,92.3,1.05,NIL,0,APPROVED,0
KAG-LR-100077,SALE_DEED,1969,9.31,8.78,1.47,0.0,0.955,23,1,86.6,0.98,NIL,0,APPROVED,0
KAG-LR-100078,PATTA,1970,4.22,4.17,0.79,0.02,0.987,17,1,88.7,0.88,ACTIVE_MORTGAGE,0,APPROVED,0
KAG-LR-100079,SETTLEMENT,1979,0.57,0.57,3.63,0.022,0.982,15,1,95.3,1.03,NIL,0,APPROVED,0
KAG-LR-100080,SALE_DEED,1998,0.67,0.67,2.77,0.008,0.967,57,2,92.2,0.99,ACTIVE_MORTGAGE,0,APPROVED,0
KAG-LR-100081,SETTLEMENT,1996,2.36,2.43,0.92,0.006,0.978,26,1,86.7,1.0,ACTIVE_MORTGAGE,0,APPROVED,0
KAG-LR-100082,SETTLEMENT,2020,10.31,10.63,0.8,0.003,0.992,41,1,99.5,0.89,NIL,0,APPROVED,0
KAG-LR-100083,SALE_DEED,2001,5.45,6.32,15.96,0.109,0.698,54,2,77.1,0.36,ACTIVE_MORTGAGE,1,PENDING,1
KAG-LR-100084,POWER_OF_ATTORNEY,1973,3.46,3.39,2.62,0.002,0.966,24,1,89.3,1.05,NIL,0,APPROVED,0
KAG-LR-100085,PATTA,1992,3.78,4.0,1.38,0.001,0.949,24,2,98.8,0.97,ACTIVE_MORTGAGE,0,APPROVED,0
KAG-LR-100086,PATTA,2017,1.07,1.02,2.42,0.004,0.957,34,2,94.3,0.94,ACTIVE_MORTGAGE,0,APPROVED,0
KAG-LR-100087,PATTA,1989,2.2,2.08,5.43,0.378,0.628,-155,3,62.9,0.6,NIL,0,PENDING,1
KAG-LR-100088,PATTA,1972,9.66,9.58,1.67,0.012,0.973,59,2,99.5,1.0,NIL,0,APPROVED,0
KAG-LR-100089,SALE_DEED,1970,3.32,3.36,0.16,0.019,0.996,7,4,87.2,1.06,ACTIVE_MORTGAGE,0,APPROVED,0
KAG-LR-100090,PATTA,2018,1.82,1.63,10.57,0.115,0.671,2354,4,73.6,0.47,ACTIVE_MORTGAGE,1,REJECTED,1
KAG-LR-100091,SETTLEMENT,1991,0.3,0.28,3.79,0.016,0.994,34,1,89.7,0.99,NIL,0,APPROVED,0
KAG-LR-100092,PATTA,2003,0.67,0.7,2.84,0.001,0.997,21,3,85.2,1.04,NIL,0,APPROVED,0
KAG-LR-100093,PATTA,2024,4.97,5.02,1.7,0.011,0.977,39,1,88.9,1.01,NIL,0,APPROVED,0
KAG-LR-100094,SETTLEMENT,2002,2.9,2.89,2.63,0.0,0.975,29,2,91.5,0.89,ACTIVE_MORTGAGE,0,PENDING,0
KAG-LR-100095,GIFT_DEED,2011,1.32,1.36,1.52,0.031,0.994,33,1,97.2,0.97,NIL,0,APPROVED,0
KAG-LR-100096,PATTA,2025,2.92,2.89,2.75,0.041,0.951,23,2,87.9,1.16,NIL,1,PENDING,0
KAG-LR-100097,SETTLEMENT,1981,0.7,0.74,1.41,0.024,0.966,25,2,99.5,0.93,NIL,0,APPROVED,0
KAG-LR-100098,SALE_DEED,2011,2.06,1.99,3.14,0.001,0.937,42,3,81.2,1.12,NIL,0,APPROVED,0
KAG-LR-100099,PATTA,2011,9.77,9.29,1.94,0.0,0.928,12,5,93.7,1.01,NIL,0,APPROVED,0
KAG-LR-100100,PATTA,1978,2.69,2.84,6.1,0.006,0.971,27,3,93.3,0.9,NIL,0,APPROVED,0
KAG-LR-100101,SALE_DEED,2005,1.07,1.06,0.47,0.011,0.95,38,1,99.5,1.05,NIL,0,APPROVED,0
KAG-LR-100102,POWER_OF_ATTORNEY,1976,4.13,4.19,0.96,0.0,0.925,25,2,93.6,0.95,NIL,0,APPROVED,0
KAG-LR-100103,POWER_OF_ATTORNEY,1976,1.72,1.73,0.41,0.021,0.983,38,2,90.7,0.95,NIL,0,PENDING,0
KAG-LR-100104,POWER_OF_ATTORNEY,2012,2.24,2.12,1.54,0.012,0.948,36,1,97.2,1.0,NIL,0,APPROVED,0
KAG-LR-100105,PATTA,1985,3.41,3.24,2.17,0.0,0.968,36,2,90.5,1.01,NIL,0,APPROVED,0
KAG-LR-100106,PATTA,1965,1.82,1.82,4.16,0.03,0.966,34,1,96.9,0.96,NIL,0,APPROVED,0
KAG-LR-100107,POWER_OF_ATTORNEY,1989,4.89,5.12,0.78,0.01,0.956,49,1,99.5,1.01,NIL,0,APPROVED,0
KAG-LR-100108,POWER_OF_ATTORNEY,2023,5.94,6.04,1.55,0.004,0.981,14,2,96.9,1.0,NIL,0,APPROVED,0
KAG-LR-100109,PATTA,1985,2.38,2.45,3.34,0.006,0.992,51,4,92.8,0.86,NIL,0,APPROVED,0
KAG-LR-100110,PATTA,1982,2.14,2.26,1.12,0.002,0.968,42,2,92.7,0.93,NIL,0,APPROVED,0
KAG-LR-100111,SALE_DEED,1974,0.34,0.35,1.82,0.0,0.952,18,3,89.7,1.21,NIL,0,APPROVED,0
KAG-LR-100112,SALE_DEED,1993,14.96,14.49,1.91,0.002,0.962,17,2,91.4,1.04,ACTIVE_MORTGAGE,0,APPROVED,0
KAG-LR-100113,PATTA,1971,7.04,7.31,2.19,0.018,0.944,24,3,93.3,0.92,ACTIVE_MORTGAGE,0,APPROVED,0
KAG-LR-100114,SALE_DEED,2017,2.17,2.07,1.26,0.012,0.966,20,1,88.9,1.04,NIL,0,APPROVED,0
KAG-LR-100115,PATTA,2023,1.69,1.74,1.45,0.006,0.989,10,5,93.5,0.9,NIL,0,APPROVED,0
KAG-LR-100116,SETTLEMENT,2015,4.0,4.09,6.5,0.01,0.978,24,1,95.7,0.97,NIL,1,APPROVED,0
KAG-LR-100117,SALE_DEED,1979,1.74,1.64,2.35,0.012,0.974,59,2,93.2,1.18,NIL,0,APPROVED,0
KAG-LR-100118,GIFT_DEED,1983,4.06,3.89,1.59,0.003,0.983,45,1,87.5,1.0,NIL,0,APPROVED,0
KAG-LR-100119,PATTA,2026,4.89,4.64,1.86,0.002,0.975,37,1,94.7,0.99,ACTIVE_MORTGAGE,0,APPROVED,0
KAG-LR-100120,PATTA,1971,2.5,2.43,1.24,0.003,0.971,22,1,91.9,1.09,NIL,0,PENDING,0
KAG-LR-100121,PATTA,1993,3.03,3.07,0.98,0.002,0.996,65,1,95.5,0.99,NIL,0,APPROVED,0
KAG-LR-100122,SALE_DEED,1991,2.37,2.49,1.34,0.005,0.995,75,2,98.5,1.05,NIL,0,APPROVED,0
KAG-LR-100123,PATTA,1967,2.14,2.11,2.75,0.003,0.964,37,1,83.0,0.98,NIL,0,APPROVED,0
KAG-LR-100124,SALE_DEED,2007,2.6,2.54,1.39,0.005,0.967,9,4,91.0,1.09,NIL,0,APPROVED,0
KAG-LR-100125,PATTA,1968,1.32,1.28,2.05,0.011,0.949,13,4,98.8,0.96,ACTIVE_MORTGAGE,0,APPROVED,0
KAG-LR-100126,PATTA,1994,2.16,2.21,2.21,0.002,0.98,26,2,96.9,1.06,NIL,0,APPROVED,0
KAG-LR-100127,PATTA,1992,2.5,2.43,0.81,0.003,0.935,41,1,94.5,1.09,NIL,0,APPROVED,0
KAG-LR-100128,PATTA,1981,12.1,11.67,2.35,0.006,0.984,19,1,88.6,1.05,NIL,0,APPROVED,0
KAG-LR-100129,PATTA,1978,5.0,4.99,4.1,0.0,0.994,13,2,92.7,1.01,DISPUTED,0,APPROVED,0
KAG-LR-100130,SALE_DEED,1968,3.98,4.08,3.59,0.0,0.993,43,2,95.7,1.08,NIL,0,APPROVED,0
KAG-LR-100131,PATTA,1992,0.95,0.96,0.81,0.005,0.979,57,1,99.5,0.96,NIL,0,APPROVED,0
KAG-LR-100132,SALE_DEED,2014,2.94,3.04,4.47,0.003,0.927,15,1,89.4,0.94,NIL,0,APPROVED,0
KAG-LR-100133,PATTA,1976,3.9,3.79,1.24,0.004,0.967,55,1,87.6,0.98,NIL,0,APPROVED,0
KAG-LR-100134,SALE_DEED,1991,10.56,10.95,1.94,0.016,0.98,58,5,90.6,1.06,NIL,0,APPROVED,0
KAG-LR-100135,SALE_DEED,1974,6.29,6.47,1.14,0.009,0.942,80,1,98.6,0.91,NIL,0,APPROVED,0
KAG-LR-100136,POWER_OF_ATTORNEY,1991,5.67,5.44,2.35,0.006,0.957,38,2,88.9,1.03,NIL,0,APPROVED,0
KAG-LR-100137,SETTLEMENT,1967,10.03,10.13,6.5,0.014,0.974,26,2,91.5,1.01,NIL,0,APPROVED,0
KAG-LR-100138,GIFT_DEED,1991,3.75,3.43,8.55,0.314,0.602,41,3,69.1,0.29,NIL,0,PENDING,1
KAG-LR-100139,PATTA,1994,1.37,1.35,4.12,0.003,0.94,67,1,90.2,1.06,NIL,0,APPROVED,0
KAG-LR-100140,SALE_DEED,1998,1.29,1.32,3.49,0.012,0.943,15,2,91.0,1.0,NIL,0,APPROVED,0
KAG-LR-100141,SETTLEMENT,1977,0.7,0.87,24.94,0.197,0.632,1625,4,55.7,0.37,NIL,1,PENDING,1
KAG-LR-100142,PATTA,2013,0.57,0.6,2.28,0.0,0.996,44,3,98.5,0.99,NIL,0,APPROVED,0
KAG-LR-100143,POWER_OF_ATTORNEY,2023,3.12,3.11,5.54,0.011,0.975,64,1,93.6,0.87,NIL,0,APPROVED,0
KAG-LR-100144,PATTA,1965,5.78,5.67,3.2,0.005,0.969,49,3,99.2,1.01,NIL,0,APPROVED,0
KAG-LR-100145,PATTA,2013,0.57,0.6,0.99,0.009,0.935,12,1,94.3,1.03,NIL,0,PENDING,0
KAG-LR-100146,PATTA,2023,0.55,0.55,1.67,0.034,0.951,47,3,89.1,0.96,ACTIVE_MORTGAGE,0,APPROVED,0
KAG-LR-100147,PATTA,1967,1.35,1.3,0.22,0.009,0.956,27,3,97.5,0.93,NIL,0,APPROVED,0
KAG-LR-100148,SALE_DEED,2002,2.57,2.64,6.28,0.008,0.894,17,2,93.8,1.11,NIL,0,PENDING,0
KAG-LR-100149,PATTA,2023,1.65,1.67,0.68,0.011,0.949,87,5,86.0,1.03,ACTIVE_MORTGAGE,0,REJECTED,0
KAG-LR-100150,SALE_DEED,2004,2.14,2.19,2.0,0.018,0.964,15,5,93.8,1.04,NIL,0,APPROVED,0
KAG-LR-100151,PATTA,1969,0.35,0.33,3.15,0.005,0.967,17,4,91.6,1.01,NIL,0,APPROVED,0
KAG-LR-100152,SALE_DEED,2012,1.85,1.94,1.48,0.026,0.987,18,1,90.2,0.97,ACTIVE_MORTGAGE,0,APPROVED,0
KAG-LR-100153,PATTA,1966,1.43,1.45,6.5,0.008,0.968,71,4,96.1,1.03,NIL,0,APPROVED,0
KAG-LR-100154,PATTA,2004,5.88,5.68,2.0,0.017,0.976,15,2,90.0,1.02,NIL,0,APPROVED,0
KAG-LR-100155,PATTA,1973,1.39,1.36,2.36,0.006,0.964,38,1,94.0,0.95,NIL,0,APPROVED,0
KAG-LR-100156,POWER_OF_ATTORNEY,2018,1.93,2.01,1.2,0.011,0.981,54,1,96.8,0.88,NIL,0,APPROVED,0
KAG-LR-100157,PATTA,2007,1.89,2.03,7.55,0.239,0.43,-551,3,70.3,0.62,ACTIVE_MORTGAGE,0,APPROVED,1
KAG-LR-100158,PATTA,1996,1.87,1.97,5.2,0.349,0.632,99,2,56.7,0.67,NIL,1,APPROVED,1
KAG-LR-100159,GIFT_DEED,1973,0.39,0.16,58.0,0.37,0.617,2067,1,74.6,0.69,ACTIVE_MORTGAGE,1,APPROVED,1
KAG-LR-100160,POWER_OF_ATTORNEY,1990,0.63,0.6,1.65,0.001,0.986,25,1,92.4,1.02,NIL,0,APPROVED,0
KAG-LR-100161,PATTA,1996,17.64,17.57,5.85,0.0,0.976,65,2,84.2,1.06,DISPUTED,0,PENDING,0
KAG-LR-100162,PATTA,1978,3.06,3.19,4.29,0.038,0.998,49,3,86.8,1.03,NIL,0,PENDING,0
KAG-LR-100163,SALE_DEED,1987,7.29,6.94,1.13,0.014,0.957,49,2,95.9,0.92,NIL,0,APPROVED,0
KAG-LR-100164,SALE_DEED,2009,1.73,1.73,1.16,0.001,0.994,27,5,85.1,0.98,NIL,0,APPROVED,0
KAG-LR-100165,SALE_DEED,2008,3.6,3.76,3.57,0.006,0.943,23,2,86.0,0.98,NIL,1,APPROVED,0
KAG-LR-100166,PATTA,1976,0.63,0.61,0.31,0.022,0.992,12,2,88.6,1.01,ACTIVE_MORTGAGE,0,PENDING,0
KAG-LR-100167,SALE_DEED,1977,8.04,8.21,2.99,0.004,0.921,22,3,91.6,0.99,NIL,0,APPROVED,0
KAG-LR-100168,PATTA,2015,6.74,5.67,15.92,0.308,0.462,921,1,64.4,0.61,NIL,1,REJECTED,1
KAG-LR-100169,PATTA,2007,2.56,2.5,5.43,0.001,0.99,58,2,94.3,1.14,ACTIVE_MORTGAGE,0,APPROVED,0
KAG-LR-100170,POWER_OF_ATTORNEY,1997,3.65,3.58,4.05,0.017,0.912,12,1,92.1,0.98,NIL,0,PENDING,0
KAG-LR-100171,PATTA,1988,2.4,2.48,4.48,0.007,0.977,42,2,87.9,1.08,NIL,0,APPROVED,0
KAG-LR-100172,PATTA,2011,0.46,0.27,41.04,0.259,0.492,-404,3,97.0,0.69,COURT_STAY,1,PENDING,1
KAG-LR-100173,POWER_OF_ATTORNEY,2024,12.71,11.02,13.27,0.305,0.71,1259,1,85.3,0.26,COURT_STAY,0,REJECTED,1
KAG-LR-100174,SALE_DEED,1974,1.0,0.88,12.23,0.202,0.495,-498,2,72.6,0.57,NIL,0,REJECTED,1
KAG-LR-100175,PATTA,2001,0.9,0.84,6.31,0.497,0.583,264,2,94.8,0.41,DISPUTED,1,PENDING,1
KAG-LR-100176,PATTA,2008,1.44,1.41,2.85,0.012,0.932,44,1,96.3,0.93,NIL,0,APPROVED,0
KAG-LR-100177,SALE_DEED,2019,8.81,8.35,5.25,0.6,0.59,-8,2,74.6,0.73,ACTIVE_MORTGAGE,0,PENDING,1
KAG-LR-100178,SALE_DEED,1996,1.97,2.03,1.5,0.01,0.967,52,3,91.8,0.94,NIL,0,APPROVED,0
KAG-LR-100179,PATTA,2025,4.29,4.15,4.41,0.018,0.981,25,1,88.5,1.05,NIL,0,APPROVED,0
KAG-LR-100180,SETTLEMENT,2014,3.83,4.04,0.47,0.004,0.988,63,1,97.1,0.91,NIL,0,APPROVED,0
KAG-LR-100181,PATTA,2000,3.52,3.51,1.02,0.001,0.987,47,1,91.3,0.97,NIL,1,APPROVED,0
KAG-LR-100182,PATTA,1967,1.42,1.35,0.73,0.009,0.945,20,1,90.0,1.01,NIL,0,APPROVED,0
KAG-LR-100183,PATTA,2006,5.45,5.83,7.02,0.141,0.549,2053,2,60.9,0.44,DISPUTED,0,REJECTED,1
KAG-LR-100184,GIFT_DEED,1977,7.57,7.43,1.52,0.006,0.981,27,5,92.6,0.91,NIL,0,APPROVED,0
KAG-LR-100185,PATTA,1985,4.48,3.54,20.96,0.38,0.494,139,2,59.1,0.62,NIL,0,APPROVED,1
KAG-LR-100186,PATTA,2014,1.09,1.13,0.73,0.003,0.975,86,1,94.1,1.0,NIL,1,APPROVED,0
KAG-LR-100187,SALE_DEED,2023,1.57,2.22,41.46,0.158,0.573,1130,1,42.9,0.31,COURT_STAY,0,PENDING,1
KAG-LR-100188,SALE_DEED,2008,0.7,0.55,21.67,0.303,0.564,244,1,68.6,0.26,DISPUTED,1,PENDING,1
KAG-LR-100189,SALE_DEED,2014,3.92,4.03,2.61,0.008,0.992,23,1,92.6,0.98,NIL,0,PENDING,0
KAG-LR-100190,PATTA,1990,4.78,4.75,2.97,0.006,0.96,50,3,99.5,1.04,ACTIVE_MORTGAGE,0,APPROVED,0
KAG-LR-100191,GIFT_DEED,2015,3.52,3.46,2.91,0.014,0.994,61,2,88.6,0.93,NIL,0,APPROVED,0
KAG-LR-100192,SALE_DEED,1973,0.69,0.73,5.92,0.257,0.626,2328,1,74.2,0.72,NIL,0,PENDING,1
KAG-LR-100193,PATTA,1990,6.48,6.84,1.68,0.005,0.942,45,4,95.3,1.07,NIL,0,PENDING,0
KAG-LR-100194,PATTA,1974,0.46,0.46,1.9,0.008,0.993,44,1,91.1,1.0,NIL,0,APPROVED,0
KAG-LR-100195,GIFT_DEED,1978,2.6,2.9,11.6,0.05,0.623,-32,1,84.4,0.77,ACTIVE_MORTGAGE,0,PENDING,1
KAG-LR-100196,PATTA,2012,2.22,2.11,1.76,0.004,0.941,22,2,93.6,0.89,NIL,0,APPROVED,0
KAG-LR-100197,SALE_DEED,2019,0.94,0.9,1.23,0.003,0.966,66,1,87.0,1.02,NIL,0,APPROVED,0
KAG-LR-100198,SALE_DEED,2017,1.52,1.57,3.82,0.004,0.975,43,3,86.9,0.95,NIL,0,APPROVED,0
KAG-LR-100199,PATTA,2020,1.48,1.43,2.42,0.005,0.965,20,5,90.6,0.94,NIL,0,APPROVED,0
